City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
196,richards bay,-28.783,32.0377,17.23,86,29,2.03,ZA,1693630926
197,tolanaro,-25.0319,46.9987,19.04,77,20,1.03,MG,1693630927
198,at taj,24.2049,23.2857,26.27,34,0,3.73,LY,1693630927
199,meadow lakes,61.6247,-149.6011,13.54,72,100,3.6,US,1693630928
200,kuala tungkal,-0.8167,103.4667,32.03,46,32,2.5,ID,1693630928
201,utrik,11.2278,169.8474,28.49,76,99,4.69,MH,1693630929
202,st. john's,47.5649,-52.7093,8.83,92,40,3.6,CA,1693630929
203,camarinas,43.1311,-9.1817,12.32,83,3,2.34,ES,1693630930
204,borba,-4.3878,-59.5939,26.95,54,43,1.13,BR,1693630930
205,natal,-5.795,-35.2094,24.12,94,40,2.06,BR,1693630930
206,bhinmal,25.0,72.25,30.69,53,0,4.4,IN,1693630931
207,euclides da cunha,-10.5075,-39.0158,16.07,97,0,1.88,BR,1693630931
208,remire-montjoly,4.9167,-52.2667,24.02,94,5,0.0,GF,1693630932
209,christchurch,-43.5333,172.6333,13.3,76,100,2.06,NZ,1693630914
210,kisangani,0.5167,25.2,21.66,98,54,0.96,CD,1693630932
211,coquimbo,-29.9533,-71.3436,13.85,82,100,1.03,CL,1693630238
212,cabo san lucas,22.8909,-109.9124,29.31,85,71,1.41,MX,1693630640
213,mugia,43.1041,-9.2179,12.31,82,1,2.7,ES,1693630933
214,kuanda,56.3161,116.0806,15.85,40,65,4.03,RU,1693630934
215,hammerfest,70.6634,23.6821,10.25,100,75,2.06,NO,1693630934
216,gadzhiyevo,69.2551,33.3362,15.53,91,100,3.71,RU,1693630935
217,reggane,26.7158,0.1714,31.78,13,0,0.38,DZ,1693630935
218,altinyayla,39.2725,36.751,17.65,79,2,2.34,TR,1693630935
219,hobyo,5.3505,48.5268,26.44,71,97,9.94,SO,1693630936
220,kaa-khem,51.6833,94.7333,20.55,46,70,2.03,RU,1693630936
221,tianfu,37.1936,122.0511,27.35,52,46,2.88,CN,1693630936
222,whistler,50.1164,-122.9695,15.86,63,40,0.36,CA,1693630906
223,lubango,-14.9172,13.4925,17.92,24,0,2.57,AO,1693630819
224,kodiak,57.79,-152.4072,11.06,70,9,6.82,US,1693630937
225,lebu,-37.6167,-73.65,7.68,79,97,3.64,CL,1693630938
226,olonkinbyen,70.9221,-8.7187,6.56,88,48,11.07,SJ,1693630938
227,howrah,22.5892,88.3103,34.0,70,40,1.54,IN,1693630863
228,namibe,-15.1961,12.1522,15.7,93,29,1.79,AO,1693630939
229,aberdeen,57.1437,-2.0981,9.19,100,100,1.03,GB,1693630939
230,fayzabad,37.1166,70.58,25.46,26,0,2.09,AF,1693630940
231,centralia,46.7162,-122.9543,20.25,74,0,1.54,US,1693630812
232,saint-paul,-21.0096,55.2707,26.05,72,2,0.45,RE,1693630941
233,aykhal,66.0,111.5,8.9,34,97,5.46,RU,1693630942
234,mount gambier,-37.8333,140.7667,16.81,55,68,1.69,AU,1693630942
235,viedma,-40.8135,-62.9967,9.71,39,10,7.33,AR,1693630795
236,port saint john's,-31.6229,29.5448,17.56,86,100,2.76,ZA,1693630943
237,dhoro naro,25.5,69.5667,32.03,43,0,8.2,PK,1693630944
238,trairi,-3.2778,-39.2689,23.96,82,2,3.87,BR,1693630944
239,fort bragg,35.139,-79.006,18.78,89,0,1.54,US,1693630945
240,alice springs,-23.7,133.8833,26.75,14,0,3.09,AU,1693630945
241,taroudant,30.4703,-8.877,19.28,81,100,2.53,MA,1693630946
242,san antonio de pale,-1.4014,5.6325,23.77,87,99,5.15,GQ,1693630946
243,idri,27.5,13.2667,28.53,26,10,4.55,LY,1693630947
244,porto novo,6.4965,2.6036,25.9,92,100,4.36,BJ,1693630834
245,nuuk,64.1835,-51.7216,2.71,74,66,10.73,GL,1693630653
246,mata-utu,-13.2816,-176.1745,27.01,76,42,9.61,WF,1693630948
247,port moresby,-9.4431,147.1797,29.68,58,20,5.14,PG,1693630685
248,konosha,60.9736,40.257,17.17,72,24,2.75,RU,1693630948
249,carnarvon,-24.8667,113.6333,21.51,54,42,5.42,AU,1693630949
250,lompoc,34.6391,-120.4579,20.43,80,37,4.02,US,1693630808
251,virac,13.6333,124.2167,26.95,69,100,7.59,PH,1693630950
252,fort st. john,56.2499,-120.8529,20.94,37,100,6.17,CA,1693630933
253,egersund,58.4513,5.9997,12.27,78,17,7.48,NO,1693630951
254,rafraf,37.1904,10.1837,23.18,68,65,6.87,TN,1693630951
255,chibougamau,49.9168,-74.3659,16.79,77,75,4.12,CA,1693630938
256,maintirano,-18.0667,44.0167,24.49,67,24,4.87,MG,1693630953
257,longyearbyen,78.2186,15.6401,4.91,75,75,4.63,SJ,1693630953
258,merizo village,13.2658,144.6691,30.88,82,90,6.53,GU,1693630954
259,dinga,32.6398,73.722,34.67,40,0,2.97,PK,1693630954
260,vuktyl,63.8567,57.3094,15.26,57,15,0.51,RU,1693630954
261,tuljapur,18.0,76.0833,30.93,47,100,1.3,IN,1693630955
262,harstad,68.799,16.5293,12.66,98,100,0.45,NO,1693630955
263,center,31.5107,-96.4247,28.22,46,0,2.06,US,1693630956
264,vilhena,-12.7406,-60.1458,23.14,67,2,1.7,BR,1693630956
265,howard springs,-12.497,131.047,32.15,34,78,1.34,AU,1693630956
266,tagiura,32.8817,13.3506,25.3,78,0,4.89,LY,1693630957
267,koh kong,11.6175,102.9806,26.34,91,100,6.37,KH,1693630957
268,pipar,26.3856,73.5378,31.78,43,0,6.05,IN,1693630958
269,sao felix do xingu,-6.6447,-51.995,22.82,89,49,0.96,BR,1693630958
270,geraldton,-28.7667,114.6,21.23,56,100,6.17,AU,1693630958
271,klyuchi,52.2667,79.1667,21.91,39,96,4.16,RU,1693630959
272,arkalyk,50.2486,66.9114,15.89,55,100,5.54,KZ,1693630959
273,pangody,65.85,74.4859,14.15,40,29,2.18,RU,1693630959
274,pizarro,4.9533,-77.366,26.44,88,84,1.95,CO,1693630960
275,mogocha,53.7333,119.7667,5.3,94,100,3.85,RU,1693630960
276,ghanzi,-21.5667,21.7833,16.65,24,6,2.97,BW,1693630960
277,naze,28.3667,129.4833,28.51,82,13,6.77,JP,1693630961
278,beloyarskiy,63.7119,66.6722,16.11,64,96,1.34,RU,1693630961
279,fale old settlement,-9.3852,-171.2468,28.2,79,32,9.32,TK,1693630962
280,tromso,69.6496,18.957,11.32,87,75,1.03,NO,1693630912
281,west fargo,46.875,-96.9004,23.34,69,0,1.54,US,1693630964
282,sinabang,2.4803,96.3801,28.06,73,100,2.49,ID,1693630964
